filepath,sign_id,subject_id,repetition,fps,frames,width,height
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_001.mp4,1,1,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_002.mp4,1,1,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_003.mp4,1,1,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_004.mp4,1,1,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_005.mp4,1,1,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_001.mp4,1,2,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_002.mp4,1,2,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_003.mp4,1,2,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_004.mp4,1,2,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_005.mp4,1,2,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_003_001.mp4,1,3,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_003_002.mp4,1,3,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_003_003.mp4,1,3,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_003_004.mp4,1,3,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_003_005.mp4,1,3,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_004_001.mp4,1,4,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_004_002.mp4,1,4,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_004_003.mp4,1,4,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_004_004.mp4,1,4,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_004_005.mp4,1,4,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_001.mp4,1,5,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_002.mp4,1,5,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_003.mp4,1,5,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_004.mp4,1,5,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_005.mp4,1,5,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_006_001.mp4,1,6,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_006_002.mp4,1,6,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_006_003.mp4,1,6,3,59.94,118,1920,1080
