sequence_path,label
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_001_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_001_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_001_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_001_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_001_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_002_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_002_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_002_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_002_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_002_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_003_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_003_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_003_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_003_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_003_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_004_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_004_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_004_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_004_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_004_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_005_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_005_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_005_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_005_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_005_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_006_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_006_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_006_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_006_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_006_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_007_001.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_007_002.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_007_003.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_007_004.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\001_007_005.npy,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_001_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_001_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_001_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_001_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_001_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_002_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_002_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_002_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_002_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_002_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_003_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_003_002.npy,1
