video_path,label
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\045_004_004.mp4,44
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_002_001.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_010_002.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_002_002.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_010_005.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\048_004_005.mp4,47
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\045_002_004.mp4,44
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_006_002.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\047_008_001.mp4,46
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\016_009_001.mp4,15
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_010_002.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_005_003.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_004_001.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_004.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\055_001_002.mp4,54
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\043_008_004.mp4,42
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\034_004_005.mp4,33
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_005_004.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_009_001.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\064_006_002.mp4,63
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_004_003.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_002_002.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_002_004.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\045_005_002.mp4,44
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_005.mp4,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_001_002.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_004_004.mp4,40
